account,value,__key_bytes,__last_updated_block_number
\x15b0caf3484edfd98cc6b760d283116ccfc34265,86950000000000000000,\x00000000000000000000000015b0caf3484edfd98cc6b760d283116ccfc34265,8587733
\x8e196551ed85558b830bc2de5c530f850514fc81,10000000000000000,\x0000000000000000000000008e196551ed85558b830bc2de5c530f850514fc81,8587733
\xc371b97bda442ee5e18b871126b074528b817c9c,10000000000000000,\x000000000000000000000000c371b97bda442ee5e18b871126b074528b817c9c,8586911
\xf27a1d40096693df19acf55ce218eb7f9e5be149,87160000000000000000,\x000000000000000000000000f27a1d40096693df19acf55ce218eb7f9e5be149,8586911
\x5cb499f239f63167713c20477f4b3559869233a3,10000000000000000,\x0000000000000000000000005cb499f239f63167713c20477f4b3559869233a3,8585991
\x025e39f3bb58e1c45c6a2814c7c5c2857110f0a3,87150000000000000000,\x000000000000000000000000025e39f3bb58e1c45c6a2814c7c5c2857110f0a3,8584505
\x2269ee5c845a0113c04caafbc1ab847e3355969f,10000000000000000,\x0000000000000000000000002269ee5c845a0113c04caafbc1ab847e3355969f,8584505
\x0ea8557b115c90e699af65d9a85071c73fcabfed,10000000000000000,\x0000000000000000000000000ea8557b115c90e699af65d9a85071c73fcabfed,8581946
\x29069d3985307d3820861c6d5532fde47497d2c9,86920000000000000000,\x00000000000000000000000029069d3985307d3820861c6d5532fde47497d2c9,8581753
\x14b74efc95d6d1a5cb008b76b896a123514d031b,10000000000000000,\x00000000000000000000000014b74efc95d6d1a5cb008b76b896a123514d031b,8581753
