assembly_type_id,energy_constant,__key_bytes,__last_updated_block_number
77917,500,\x000000000000000000000000000000000000000000000000000000000001305d,7288488
84556,100,\x0000000000000000000000000000000000000000000000000000000000014a4c,7288488
84955,950,\x0000000000000000000000000000000000000000000000000000000000014bdb,7288488
87119,50,\x000000000000000000000000000000000000000000000000000000000001544f,7288488
87120,250,\x0000000000000000000000000000000000000000000000000000000000015450,7288488
88063,100,\x00000000000000000000000000000000000000000000000000000000000157ff,7288488
88064,200,\x0000000000000000000000000000000000000000000000000000000000015800,7288488
88067,100,\x0000000000000000000000000000000000000000000000000000000000015803,7288488
88068,200,\x0000000000000000000000000000000000000000000000000000000000015804,7288488
88069,100,\x0000000000000000000000000000000000000000000000000000000000015805,7288488
