smart_object_id,created_at,previous_state,current_state,is_valid,anchored_at,updated_block_number,updated_block_time,__key_bytes,__last_updated_block_number
16905466054348280942896552011870816697932781413488152099811479606424273694081,1758302742,1,2,t,1758302742,8587935,1758302742,\x2560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d81,8587935
46648792439869272257760544037837453132233379351986404479925714750656681773942,1758289208,2,3,t,1758289208,8587888,1758302648,\x672247e666aa8c970f7205eeb648e97d340bca5d2e3c72828177db7238328b76,8587888
19795234134162441080341440675344393610932932677831963023045338007022225329895,1758282634,2,3,t,1758282634,8587886,1758302644,\x2bc3b49a0c1dc4040cb082956771dd2d44f10f890dfd9244db658db0f3480ee7,8587886
47185083351408974992057482246376123995827845397238429773536951959478838903079,1758302640,1,2,t,1758302640,8587884,1758302640,\x6851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a0424127,8587884
100250025223726658738654931823487964951215097609770556669156456216720318157236,1758302640,1,2,t,1758302640,8587884,1758302640,\xdda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c866289283851b4,8587884
68414870092408726995284918354210972589709809808521922219129213511111638660718,1758302632,1,2,t,1758302632,8587880,1758302632,\x974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16366e,8587880
43488518371616613962363747418386367548670439208749694192247920559301585219914,1758300880,2,3,t,1758300880,8587875,1758302622,\x6025a10e4867b8e1f55b6cce2f44895ccf196562d27b98b1ef58d44b6d27314a,8587875
84238769449992080866088712999782849339873446842578996727086197279815200111172,1758294184,2,3,t,1758294184,8587850,1758302572,\xba3d7431b3d73872f567bb7b2d614447098d3bbd62598447561c913482537a44,8587850
103574730284832928515413331618557885105535939940918931217933677602609010374875,1758294700,2,3,t,1758294700,8587837,1758302546,\xe4fd384a486e1f8f528bee572ebf7c0e4ecac757c3b182ef21fa5acfd104f8db,8587837
60111412355051391629722680399853829566074812330991221091900175128757004958714,1758302534,1,2,t,1758302534,8587831,1758302534,\x84e5da8c56b16c3fa5315533a2e1f56414293cfc2ced01fd9ebeb9d46aac7bfa,8587831
