smart_object_id,capacity,__key_bytes,__last_updated_block_number
16905466054348280942896552011870816697932781413488152099811479606424273694081,20000000000000000000000,\x2560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d81,8587935
111971738504652039514826062273138545709493399240537930970834016168150495267515,20000000000000000000000,\xf78dc213a56ca726dac26a5ed5a33ad208114a24ce41d35801ea03654afa0abb,8586367
55967711658967593893313984113103969667014093007545209088285540479499000177445,200000000000000000000000,\x7bbc9a2b40e098293093fb2b902e771177624253764cdc455db0a7579c9d6325,8586234
50942113368317231072687707119070966324825023030005478728286353177867800961896,20000000000000000000000,\x70a036e259083b859c824021e2575be3803904e49629a018a10f659907866368,8585330
51346867558351050693384338905136275949384548279985194513063029254027950571779,20000000000000000000000,\x71854c11a8e0e0a87044a8abf67353b0b43b469584f3e56513cb2cbbe27a4103,8584369
103800763525853988282946633813554467534280327120849784022743617371034630092457,20000000000000000000000,\xe57d26712956dc06b2dc8c6a4633fb12e21c1756df96073338c6cfe9cab9f6a9,8584191
46903130264331372971366289904947075092395187065899044071367496464813076831335,20000000000000000000000,\x67b23b20a127be62c003a20e721d0a56296ef57b2aa58dfcee9990be55a8dc67,8582437
94164117435225604342354841487819492340023276116533079585391733227955006768541,20000000000000000000000,\xd02f0073a5ddbc42a90626c56a728b19bebd4ef29f8b6de44ed985ffd1ec859d,8581206
109425925260304450561739597564703352719004131703022700383924418382936542485968,20000000000000000000000,\xf1ece0fe33ab5a8f64828481f373161af8533503976b3bd9658269ac93031dd0,8581163
32394475065217871074364610531909731143065848565845800766939582436409403508940,200000000000000000000000,\x479e9f859a1a55a8acea8789b52f4298dc89e30bcf10232771618d2b5d4c08cc,8580794
