smart_object_id,ephemeral_owner,item_object_id,exists,quantity,index,version,__key_bytes,__last_updated_block_number
52895206426408930716089200984664026506845812970682828808946642260005283892549,\xaca507a3b1332ab520b055810ba5962094d8cad5,37183199378092202825076546449732385075499030242965416584466778519667764089767,t,39750,0,1,\x74f1a03a2fea420bb485d9df325cc7cf4dc06a39354ed6f3d8b9396ef0eb0d45000000000000000000000000aca507a3b1332ab520b055810ba5962094d8cad55234f1ee5ac4a41bc3c9a4c3b816b7b346bdb17f69f2ac49ffba9bf690c3d3a7,8586700
52895206426408930716089200984664026506845812970682828808946642260005283892549,\xaca507a3b1332ab520b055810ba5962094d8cad5,6933547074452663910436584564951879005703584681330831098682410320676981943355,t,256000,4,1,\x74f1a03a2fea420bb485d9df325cc7cf4dc06a39354ed6f3d8b9396ef0eb0d45000000000000000000000000aca507a3b1332ab520b055810ba5962094d8cad50f543fa28be1430c9a04ad930f2367ea2b565fff827109e4d8a0d31b6c29ac3b,8586699
52895206426408930716089200984664026506845812970682828808946642260005283892549,\xaca507a3b1332ab520b055810ba5962094d8cad5,78238675431961098682381454381313717869368720773973871664129330903568564609894,t,46565,1,1,\x74f1a03a2fea420bb485d9df325cc7cf4dc06a39354ed6f3d8b9396ef0eb0d45000000000000000000000000aca507a3b1332ab520b055810ba5962094d8cad5acf9856156b30bc506b1439bcaad32bb31dab6757296e10ead9cf4bb7297e366,8586678
52895206426408930716089200984664026506845812970682828808946642260005283892549,\xaca507a3b1332ab520b055810ba5962094d8cad5,33067717337055512232434102294988201249440798234765474600638863381800175135032,t,13965,5,1,\x74f1a03a2fea420bb485d9df325cc7cf4dc06a39354ed6f3d8b9396ef0eb0d45000000000000000000000000aca507a3b1332ab520b055810ba5962094d8cad5491baa2d5ba57c234a0da6dfbfa89a3c05944cbc408088530619e5f11531e938,8586677
67694141521174735237622547943354234236368450067165265077878761032575679248671,\x03fd23ed0af756f4593fc72242ee4de19eb9f456,93971334893872380566904028678350125351978948326134701957554791477204944728121,t,656478,1,1,\x95a986bcf55db07f0fd2395568c9c021ac1847bebd83c19f01afbde46ff4b91f00000000000000000000000003fd23ed0af756f4593fc72242ee4de19eb9f456cfc1e405c43f335ef5621acbb5926a7767d4b06156493dc70ea49a555814b039,8586449
52895206426408930716089200984664026506845812970682828808946642260005283892549,\xaca507a3b1332ab520b055810ba5962094d8cad5,8917962265772235679403104984003790058402323547772832483043898899751438867120,t,15,3,1,\x74f1a03a2fea420bb485d9df325cc7cf4dc06a39354ed6f3d8b9396ef0eb0d45000000000000000000000000aca507a3b1332ab520b055810ba5962094d8cad513b76344e0c5129bc7ba26bbe8ad480c4facc0d4f85fadc87bc0e24b7adf5ab0,8559622
52895206426408930716089200984664026506845812970682828808946642260005283892549,\xaca507a3b1332ab520b055810ba5962094d8cad5,3725376810812870852705444693294252674472410729029260297833303372472495153351,t,6,2,1,\x74f1a03a2fea420bb485d9df325cc7cf4dc06a39354ed6f3d8b9396ef0eb0d45000000000000000000000000aca507a3b1332ab520b055810ba5962094d8cad5083c7d11cd8e632526cbc84f6e0ec3d98afdae78c2fe6a0f28bf0d9d09b8a0c7,8559621
71452433362355750058200452358304161267672179438961396241593675634676773362488,\x30fe0e4b3e66b9090ce0bcd8444949081ba30cc5,98722621443305171646694042592593518449396333333777463383723244420105775041019,t,1,4,1,\x9df8a4e517a2f9fa03f9a42e8ea5ab839eccc87515bce7e7717b641572471b3800000000000000000000000030fe0e4b3e66b9090ce0bcd8444949081ba30cc5da43060ab1e73bedec90565453d1176688ac2c07efcd2b8cc5e8cecdf47b49fb,8548573
71452433362355750058200452358304161267672179438961396241593675634676773362488,\x878c5d8a07f43bb7cfdb35fa41a0f028343ad01c,98722621443305171646694042592593518449396333333777463383723244420105775041019,t,3,0,1,\x9df8a4e517a2f9fa03f9a42e8ea5ab839eccc87515bce7e7717b641572471b38000000000000000000000000878c5d8a07f43bb7cfdb35fa41a0f028343ad01cda43060ab1e73bedec90565453d1176688ac2c07efcd2b8cc5e8cecdf47b49fb,8547836
15627866984382175025535534326401067411706897235620004562363655745234352444365,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,60597553377526644998426398831478021925783486636691418520088382050634197537741,t,10,0,1,\x228d0f2b67ec805d4b9734c04589af35ec25d8a8aaa596fd507c3add36c793cd000000000000000000000000d50c6ae8efa40687adf39b1e31fa0275eb1f3b2985f8fff10b998a161e92815113767730824098eaa41d8cfb2b66427eeaee93cd,8537785
