smart_object_id,ephemeral_owner,capacity,used_capacity,version,items,__key_bytes,__last_updated_block_number
52895206426408930716089200984664026506845812970682828808946642260005283892549,\xaca507a3b1332ab520b055810ba5962094d8cad5,1000000000000000000000000,125901000000000000000000,1,"{37183199378092202825076546449732385075499030242965416584466778519667764089767,78238675431961098682381454381313717869368720773973871664129330903568564609894,3725376810812870852705444693294252674472410729029260297833303372472495153351,8917962265772235679403104984003790058402323547772832483043898899751438867120,6933547074452663910436584564951879005703584681330831098682410320676981943355,33067717337055512232434102294988201249440798234765474600638863381800175135032}",\x74f1a03a2fea420bb485d9df325cc7cf4dc06a39354ed6f3d8b9396ef0eb0d45000000000000000000000000aca507a3b1332ab520b055810ba5962094d8cad5,8586700
67694141521174735237622547943354234236368450067165265077878761032575679248671,\x03fd23ed0af756f4593fc72242ee4de19eb9f456,1000000000000000000000000,711023100000000000000000,1,"{28660164034080927884148127935042895972607298419846437699120557549506403705922,93971334893872380566904028678350125351978948326134701957554791477204944728121,60597553377526644998426398831478021925783486636691418520088382050634197537741,3725376810812870852705444693294252674472410729029260297833303372472495153351}",\x95a986bcf55db07f0fd2395568c9c021ac1847bebd83c19f01afbde46ff4b91f00000000000000000000000003fd23ed0af756f4593fc72242ee4de19eb9f456,8586449
107248231529685261355223303784210792586682736967790191173701347486468201164724,\xcde2aed81d89bb482ba13a105c265a5e0b827147,200000000000000000000000,0,1,{},\xed1c5910670ef68f6f79c8f0550e3bcc245f30f5a60cb5c22512ad39ab56afb4000000000000000000000000cde2aed81d89bb482ba13a105c265a5e0b827147,8559199
71452433362355750058200452358304161267672179438961396241593675634676773362488,\x30fe0e4b3e66b9090ce0bcd8444949081ba30cc5,200000000000000000000000,6500000000000000000,1,"{1327505873940013120758462688078139315819879088289946115608416774396316552021,83009751138259273789314677078135856180713171064988859574465222214458219046305,16608569028445011186567013935016535115251916259289773229357174101327618705325,6933547074452663910436584564951879005703584681330831098682410320676981943355,98722621443305171646694042592593518449396333333777463383723244420105775041019}",\x9df8a4e517a2f9fa03f9a42e8ea5ab839eccc87515bce7e7717b641572471b3800000000000000000000000030fe0e4b3e66b9090ce0bcd8444949081ba30cc5,8548573
71452433362355750058200452358304161267672179438961396241593675634676773362488,\x878c5d8a07f43bb7cfdb35fa41a0f028343ad01c,200000000000000000000000,300000000000000000,1,{98722621443305171646694042592593518449396333333777463383723244420105775041019},\x9df8a4e517a2f9fa03f9a42e8ea5ab839eccc87515bce7e7717b641572471b38000000000000000000000000878c5d8a07f43bb7cfdb35fa41a0f028343ad01c,8547836
15627866984382175025535534326401067411706897235620004562363655745234352444365,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,20000000000000000000000,2800000000000000000,1,{60597553377526644998426398831478021925783486636691418520088382050634197537741},\x228d0f2b67ec805d4b9734c04589af35ec25d8a8aaa596fd507c3add36c793cd000000000000000000000000d50c6ae8efa40687adf39b1e31fa0275eb1f3b29,8537785
115485163569382436315729107911891537110874621310665432728956908290533634012090,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,20000000000000000000000,0,1,{},\xff5249463f38f027c9adddfaf640bf36a0a7efe23d76ffa43f5592c59a8af3ba000000000000000000000000d50c6ae8efa40687adf39b1e31fa0275eb1f3b29,8537263
1558599560737682317152501700195301751145508089017065218714765872264596087377,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,20000000000000000000000,2800000000000000000,1,{60597553377526644998426398831478021925783486636691418520088382050634197537741},\x037222d6c57f0227505dc12a8ead56741477390390dc36ed4f41308e4cbae251000000000000000000000000d50c6ae8efa40687adf39b1e31fa0275eb1f3b29,8536470
38223723203043973413349948333200152021181451459906049591347832297996480686422,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,20000000000000000000000,5600000000000000000,1,{60597553377526644998426398831478021925783486636691418520088382050634197537741},\x5481dc5411acbe2bafea4819d37bd883c52e5734194eb01490a2b166b46c2956000000000000000000000000d50c6ae8efa40687adf39b1e31fa0275eb1f3b29,8535793
20395093433496556344585035173504981264259657689562904716194807984733018227722,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,20000000000000000000000,5600000000000000000,1,{60597553377526644998426398831478021925783486636691418520088382050634197537741},\x2d1736bc12de0bec7093ad0901e68783c1e378f65898fd254888fd8b0cc5840a000000000000000000000000d50c6ae8efa40687adf39b1e31fa0275eb1f3b29,8535406
