role,account,is_member,index,__key_bytes,__last_updated_block_number
\xb66e8584ec05c958d8cc3dc17c1b01b8845435d40c5192c977ca9f0889d44204,\xf9f7928fb4ba39b5667c7799fc879161f835c1bd,t,0,\xb66e8584ec05c958d8cc3dc17c1b01b8845435d40c5192c977ca9f0889d44204000000000000000000000000f9f7928fb4ba39b5667c7799fc879161f835c1bd,8587935
\xde1e36ba648575567958b1671f8e437e542dace2ddd375b04b374fdd0c7b17c0,\xb6d7c0b16b6114a81b446122e4def78d3be9d02b,t,0,\xde1e36ba648575567958b1671f8e437e542dace2ddd375b04b374fdd0c7b17c0000000000000000000000000b6d7c0b16b6114a81b446122e4def78d3be9d02b,8587884
\xe088a8593ba42878a3aca2bc16bb29aa81d117c87f05b0b66edc700e3572cdcf,\xf7b41f2824764538d0d10165f44955e71a5d8de9,t,0,\xe088a8593ba42878a3aca2bc16bb29aa81d117c87f05b0b66edc700e3572cdcf000000000000000000000000f7b41f2824764538d0d10165f44955e71a5d8de9,8587884
\xc6141f3463aacc39b7c3518801f8c2f6ce2a3f11e2c304d995f5809375b0dab4,\xf7b41f2824764538d0d10165f44955e71a5d8de9,t,0,\xc6141f3463aacc39b7c3518801f8c2f6ce2a3f11e2c304d995f5809375b0dab4000000000000000000000000f7b41f2824764538d0d10165f44955e71a5d8de9,8587880
\xb0e6f626216593f92300d26653582931b12f892c650f67af50e07d81284c8cdf,\x0ea8557b115c90e699af65d9a85071c73fcabfed,t,0,\xb0e6f626216593f92300d26653582931b12f892c650f67af50e07d81284c8cdf0000000000000000000000000ea8557b115c90e699af65d9a85071c73fcabfed,8587831
\x50dfa6d4da7649a83879de3fbc66e47e479c7aec24a77a983dd42d1d120a385f,\x6c0232497d804693681f79960454d18e539617c1,t,0,\x50dfa6d4da7649a83879de3fbc66e47e479c7aec24a77a983dd42d1d120a385f0000000000000000000000006c0232497d804693681f79960454d18e539617c1,8587807
\x1bb07e43c5fc447e9e60a0660e091341748bfbe2840ec7422f044a0259fa91fe,\x5663123eb5bc2cfc61b9884f35f3a373f9df93d7,t,0,\x1bb07e43c5fc447e9e60a0660e091341748bfbe2840ec7422f044a0259fa91fe0000000000000000000000005663123eb5bc2cfc61b9884f35f3a373f9df93d7,8587775
\x98652fb24074e8520d2c4dfd8494864531a3e3172f42de306d258cd48ca0a14c,\x96d9d650e10918a0b0a7d10974b3dbf659a78c2d,t,0,\x98652fb24074e8520d2c4dfd8494864531a3e3172f42de306d258cd48ca0a14c00000000000000000000000096d9d650e10918a0b0a7d10974b3dbf659a78c2d,8587775
\xdb21d2397b0bfffa284ecae70aab4a0d62448d99976e93d87c32f794560b1c1c,\xf9f7928fb4ba39b5667c7799fc879161f835c1bd,t,0,\xdb21d2397b0bfffa284ecae70aab4a0d62448d99976e93d87c32f794560b1c1c000000000000000000000000f9f7928fb4ba39b5667c7799fc879161f835c1bd,8587766
\x7f8a932143404ee5e276d26b8d5f7b0be40aedcfdf56e493e53895fb3567df4a,\x8e196551ed85558b830bc2de5c530f850514fc81,t,0,\x7f8a932143404ee5e276d26b8d5f7b0be40aedcfdf56e493e53895fb3567df4a0000000000000000000000008e196551ed85558b830bc2de5c530f850514fc81,8587732
