smart_object_id,capacity,used_capacity,version,items,__key_bytes,__last_updated_block_number
69427400145081167536543731346203515607375054729200001946255634901969588794182,200000000000000000000000,135806860000000000008928,1,"{6933547074452663910436584564951879005703584681330831098682410320676981943355,3725376810812870852705444693294252674472410729029260297833303372472495153351,65859464990658079660142996010824736969603012122728863182391099129147151070190,26294824765154050620923338216546401629554418276314958706616492163096723654583,5426060460386341134034794032212765818343432541106508090211036285260553158658,67622676671577413482085455646650060642254481357111350261603993814658246783052,8917962265772235679403104984003790058402323547772832483043898899751438867120,94875462503318965317610204602034195220419222124408595288881136441829773595025,70328353332326396893579379322725520013726399695835710351328330978830607335297,41187877470224419667841039031655895381563183998982719594772189664454980939967,82654076386305192248412225860517282067204226057389857447438175452547779414469,21751314841880649949319635174897539616738393724853283395649229480302668483290,83009751138259273789314677078135856180713171064988859574465222214458219046305,82787742659298498006074990915624394269591089796644830393389015755282199779695,21060754760332631444819249910353972166249370445700618592877004689214568553846,93971334893872380566904028678350125351978948326134701957554791477204944728121,85528052646318622400302762496454791752189846056384304216863862700967364889366,78052186241868843874657946687624237447555700174421962370160879068146036938155,1484063360364482000187839143011469862461972229291931848144105166448607209412,87989597162801387010449643348430950027340202835066390416033027589688022070857,1327505873940013120758462688078139315819879088289946115608416774396316552021,16547294869424327897746957676410653533167870642308424799722544273668833037260,60597553377526644998426398831478021925783486636691418520088382050634197537741,37183199378092202825076546449732385075499030242965416584466778519667764089767,16608569028445011186567013935016535115251916259289773229357174101327618705325,73473201088408630722363357595073623087261199720820245960615901155519961551267,40355499242942717279319600158790798907842234935628620173026384573750353192524,14688544071080710548440861665809325244456797648692011931079425636865901685899,58496874726991105895669044116748392121272154841054226243843265520351151955955,55772665958696498786210324043032259166507690017750449781544390521937330073918,33067717337055512232434102294988201249440798234765474600638863381800175135032}",\x997e84147197872fd4dc1e04689f64aca1fea2de28bf61401b4a18bdc5653346,8587939
16905466054348280942896552011870816697932781413488152099811479606424273694081,20000000000000000000000,0,1,{},\x2560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d81,8587935
93770074327914876094792325806170835258832475146433093370175317163906876645119,200000000000000000000000,137608170000000000000000,1,"{37183199378092202825076546449732385075499030242965416584466778519667764089767,1327505873940013120758462688078139315819879088289946115608416774396316552021,33067717337055512232434102294988201249440798234765474600638863381800175135032,65859464990658079660142996010824736969603012122728863182391099129147151070190,96295476860523121322976316812599928760428826402394748103438210526035648135663,14688544071080710548440861665809325244456797648692011931079425636865901685899,58496874726991105895669044116748392121272154841054226243843265520351151955955,66064774561328996787127480678808013063783049314700046670336613830869077126659,25831868846818050453463284812238027698029633904039423718075472790164677862265,99309780115438104119740230466693296239536671111712850230998228997308339793177,6645208777098630952294799910889018156440240777863138873940811767969312000461,83009751138259273789314677078135856180713171064988859574465222214458219046305,39979776667007136353808342935515008268608452898360954585512133830930172448606,27826521293235197094242640043904880173417681520971876664837173487698250286000,18322611085973510576035833412972684481124005949332687252129068621596310649715,30756325159990946575810088644672529682823840562516308087448291142961889988376,78238675431961098682381454381313717869368720773973871664129330903568564609894,94875462503318965317610204602034195220419222124408595288881136441829773595025,73473201088408630722363357595073623087261199720820245960615901155519961551267,72073071389871461384921713380205144509071426304687603867735542696725499725906,100213936568080428178936676751145554008300600043583570853237169877030825563990,3725376810812870852705444693294252674472410729029260297833303372472495153351,93971334893872380566904028678350125351978948326134701957554791477204944728121,16608569028445011186567013935016535115251916259289773229357174101327618705325,73295892619553993750810348358065825800955685792289951843763806669857632117057,45235012352059196166060987948079136779801025207250811219331207816631998001847,6933547074452663910436584564951879005703584681330831098682410320676981943355,29000134251730766148504276193031920869710440967753961385939993813393962247929,82787742659298498006074990915624394269591089796644830393389015755282199779695,14057529720911046597503595589528349231990637757488652351693869853379543063795,41187877470224419667841039031655895381563183998982719594772189664454980939967,21751314841880649949319635174897539616738393724853283395649229480302668483290,67622676671577413482085455646650060642254481357111350261603993814658246783052,107482573115502832067644433085897203253512283684079840509641956014951135526723,28660164034080927884148127935042895972607298419846437699120557549506403705922,55772665958696498786210324043032259166507690017750449781544390521937330073918,43399354669219923825815689128040065701415815588199758899503080806531358088099,35180861659531818522084002158106312728499980654320096268759179125259344124463,112743344140449679568547461461670656467589517754581445071590194526237196968429,18519378372876492592614394986243568576263465955131482590977962624155930594364,49715018881187063464982895989747772465399312245755063089335058600087350804960,78052186241868843874657946687624237447555700174421962370160879068146036938155,60597553377526644998426398831478021925783486636691418520088382050634197537741,8917962265772235679403104984003790058402323547772832483043898899751438867120,98722621443305171646694042592593518449396333333777463383723244420105775041019,24769300214168743824172863967284490916823423833921187122636603927244197553865}",\xcf4ffb3479a5be56821049ffaaf04ee3fbed6dd8e8f00eadac82d92e2a911eff,8587935
32325450397785941095236578165209848736443513839027187982770825566571011487199,200000000000000000000000,32272720000000000000768,1,"{6645208777098630952294799910889018156440240777863138873940811767969312000461,67622676671577413482085455646650060642254481357111350261603993814658246783052,83009751138259273789314677078135856180713171064988859574465222214458219046305,99309780115438104119740230466693296239536671111712850230998228997308339793177,6933547074452663910436584564951879005703584681330831098682410320676981943355,3725376810812870852705444693294252674472410729029260297833303372472495153351,70328353332326396893579379322725520013726399695835710351328330978830607335297,8917962265772235679403104984003790058402323547772832483043898899751438867120,1327505873940013120758462688078139315819879088289946115608416774396316552021,16608569028445011186567013935016535115251916259289773229357174101327618705325,33067717337055512232434102294988201249440798234765474600638863381800175135032,78238675431961098682381454381313717869368720773973871664129330903568564609894,58496874726991105895669044116748392121272154841054226243843265520351151955955,21060754760332631444819249910353972166249370445700618592877004689214568553846,93971334893872380566904028678350125351978948326134701957554791477204944728121,37183199378092202825076546449732385075499030242965416584466778519667764089767,39979776667007136353808342935515008268608452898360954585512133830930172448606}",\x47778e7a645fdb31f393dba0cbafe3d3a674f3a0cf774cd860a95040631bb5df,8587934
15966376293535236957274206374619424674620882826981309252320088387250223850729,20000000000000000000000,454800000000000000000,1,"{112743344140449679568547461461670656467589517754581445071590194526237196968429,99309780115438104119740230466693296239536671111712850230998228997308339793177,87989597162801387010449643348430950027340202835066390416033027589688022070857,36509975271422331056492833032008121189874205791248798002847785569922328926746,74000600342103198586228058334836329762705219765648520830626835333269457871394}",\x234ca613858e9cd89ba8f580fe8100e2f6c7c8c46a2bfd94cc64fd539bc424e9,8587929
76250838006162737129593610270442173645450971118836856811450809309347883215063,200000000000000000000000,11848288000000000008704,1,"{82654076386305192248412225860517282067204226057389857447438175452547779414469,81122252930637930208440956029134514102758156312885229427541994678528325773334,66064774561328996787127480678808013063783049314700046670336613830869077126659,73295892619553993750810348358065825800955685792289951843763806669857632117057,21751314841880649949319635174897539616738393724853283395649229480302668483290,74000600342103198586228058334836329762705219765648520830626835333269457871394,6933547074452663910436584564951879005703584681330831098682410320676981943355,41558263671459501282451671839266246270796973682095075097690626449079046098492,60597553377526644998426398831478021925783486636691418520088382050634197537741,112743344140449679568547461461670656467589517754581445071590194526237196968429,35180861659531818522084002158106312728499980654320096268759179125259344124463,87287415784859393810559123967402248216054956992605429324700179230991923737084,80357495045137579582721063247596997629049748327241499417144579859166396011133,14538166757065871771816909318603082865411928066634491552392545684815113755760,16547294869424327897746957676410653533167870642308424799722544273668833037260,43399354669219923825815689128040065701415815588199758899503080806531358088099,5426060460386341134034794032212765818343432541106508090211036285260553158658,62380065226319658644390527330282867876629442309227765239094590677184151527986,58496874726991105895669044116748392121272154841054226243843265520351151955955,73190390894302823336670340952812680079344845805839776054758930540112376444658,96295476860523121322976316812599928760428826402394748103438210526035648135663,21060754760332631444819249910353972166249370445700618592877004689214568553846,99309780115438104119740230466693296239536671111712850230998228997308339793177,55772665958696498786210324043032259166507690017750449781544390521937330073918,63068238647511760480316449459410207359014651813431114542919931726688830544777,97406697179121589983081144505407213360580751745937241879325760941570822311812,30756325159990946575810088644672529682823840562516308087448291142961889988376,107482573115502832067644433085897203253512283684079840509641956014951135526723,28660164034080927884148127935042895972607298419846437699120557549506403705922,18322611085973510576035833412972684481124005949332687252129068621596310649715,25831868846818050453463284812238027698029633904039423718075472790164677862265,24121602881925825934927750963039029083032938962543097031326448965516287546426,72073071389871461384921713380205144509071426304687603867735542696725499725906}",\xa89471e546796b0301516f180674ec7f9b5bb26a86fa879e78b5c1345ca368d7,8587928
102259995950415748913376866468299260889273707592398079094239222879056027216222,200000000000000000000000,34889700000000000000000,1,"{25831868846818050453463284812238027698029633904039423718075472790164677862265,3725376810812870852705444693294252674472410729029260297833303372472495153351,35180861659531818522084002158106312728499980654320096268759179125259344124463,60597553377526644998426398831478021925783486636691418520088382050634197537741,29000134251730766148504276193031920869710440967753961385939993813393962247929,1327505873940013120758462688078139315819879088289946115608416774396316552021,83009751138259273789314677078135856180713171064988859574465222214458219046305,39979776667007136353808342935515008268608452898360954585512133830930172448606,67622676671577413482085455646650060642254481357111350261603993814658246783052,93365409448089770437026494186630103123346454074885573524010810615577000650045,97406697179121589983081144505407213360580751745937241879325760941570822311812,93971334893872380566904028678350125351978948326134701957554791477204944728121,101263546454149044199979950471940238723336827706701439805669786901735121115810,105703034715518088855659738402719914805452405589527819014235063160923901196007,17661501981191062985640970609322725235254858113491594707779250953161184772718,87989597162801387010449643348430950027340202835066390416033027589688022070857,43399354669219923825815689128040065701415815588199758899503080806531358088099,94065623449206765665704604155015561027806047326273340439446150993927552512816,55772665958696498786210324043032259166507690017750449781544390521937330073918,27826521293235197094242640043904880173417681520971876664837173487698250286000,1484063360364482000187839143011469862461972229291931848144105166448607209412,74000600342103198586228058334836329762705219765648520830626835333269457871394,37183199378092202825076546449732385075499030242965416584466778519667764089767,33067717337055512232434102294988201249440798234765474600638863381800175135032,66064774561328996787127480678808013063783049314700046670336613830869077126659,99309780115438104119740230466693296239536671111712850230998228997308339793177,112743344140449679568547461461670656467589517754581445071590194526237196968429,67265549235689800725203507158032914285465907689917200176290042503077169701504,45235012352059196166060987948079136779801025207250811219331207816631998001847,72842574284411737272672678443654706840565311663000476430472563502096188386027,14057529720911046597503595589528349231990637757488652351693869853379543063795,63068238647511760480316449459410207359014651813431114542919931726688830544777,95533237515046643899389449777139347671343575667266021751783175749000036906920,87287415784859393810559123967402248216054956992605429324700179230991923737084,8917962265772235679403104984003790058402323547772832483043898899751438867120,107482573115502832067644433085897203253512283684079840509641956014951135526723,81122252930637930208440956029134514102758156312885229427541994678528325773334,94875462503318965317610204602034195220419222124408595288881136441829773595025,50831236193803434911191761972333955925825218801302957423414987757854362161383,100213936568080428178936676751145554008300600043583570853237169877030825563990,6933547074452663910436584564951879005703584681330831098682410320676981943355,78238675431961098682381454381313717869368720773973871664129330903568564609894,16608569028445011186567013935016535115251916259289773229357174101327618705325,78052186241868843874657946687624237447555700174421962370160879068146036938155}",\xe2151b4b7c4ba0bf59b64e20d7b55b2c5e416c60167915d20a3bdc9a767c695e,8587925
41184369001597762716749484621693288217140533947923939148229491478534748377934,20000000000000000000000,7272520000000000000000,1,"{100213936568080428178936676751145554008300600043583570853237169877030825563990,50831236193803434911191761972333955925825218801302957423414987757854362161383,74000600342103198586228058334836329762705219765648520830626835333269457871394,87287415784859393810559123967402248216054956992605429324700179230991923737084,73473201088408630722363357595073623087261199720820245960615901155519961551267,18519378372876492592614394986243568576263465955131482590977962624155930594364,78052186241868843874657946687624237447555700174421962370160879068146036938155}",\x5b0d86dc210a994333765ee50c88c490db89036a9f394526077e960bca5c134e,8587910
67693362210963788658449760681708684796079586321956700129265293248022425188509,200000000000000000000000,80201230000000000003200,1,"{83009751138259273789314677078135856180713171064988859574465222214458219046305,1327505873940013120758462688078139315819879088289946115608416774396316552021,67622676671577413482085455646650060642254481357111350261603993814658246783052,93971334893872380566904028678350125351978948326134701957554791477204944728121,3725376810812870852705444693294252674472410729029260297833303372472495153351,21060754760332631444819249910353972166249370445700618592877004689214568553846,24769300214168743824172863967284490916823423833921187122636603927244197553865,29000134251730766148504276193031920869710440967753961385939993813393962247929,87287415784859393810559123967402248216054956992605429324700179230991923737084,94875462503318965317610204602034195220419222124408595288881136441829773595025,109614235577794200845285982943249387324458076444631602922797011672357285977276,8917962265772235679403104984003790058402323547772832483043898899751438867120,17661501981191062985640970609322725235254858113491594707779250953161184772718,81122252930637930208440956029134514102758156312885229427541994678528325773334,105703034715518088855659738402719914805452405589527819014235063160923901196007,101263546454149044199979950471940238723336827706701439805669786901735121115810,87989597162801387010449643348430950027340202835066390416033027589688022070857,74000600342103198586228058334836329762705219765648520830626835333269457871394,60597553377526644998426398831478021925783486636691418520088382050634197537741,16608569028445011186567013935016535115251916259289773229357174101327618705325,98722621443305171646694042592593518449396333333777463383723244420105775041019}",\x95a915d2bc76851f06fba869253950d70b740dfdbabbdaa123e734f820e1389d,8587907
104670409165156040888737728053694515676149070152279452934360213304564626016828,20000000000000000000000,13862160000000000007584,1,"{70328353332326396893579379322725520013726399695835710351328330978830607335297,3725376810812870852705444693294252674472410729029260297833303372472495153351,6645208777098630952294799910889018156440240777863138873940811767969312000461,97406697179121589983081144505407213360580751745937241879325760941570822311812,8917962265772235679403104984003790058402323547772832483043898899751438867120,101263546454149044199979950471940238723336827706701439805669786901735121115810,99309780115438104119740230466693296239536671111712850230998228997308339793177,98722621443305171646694042592593518449396333333777463383723244420105775041019,21060754760332631444819249910353972166249370445700618592877004689214568553846,58496874726991105895669044116748392121272154841054226243843265520351151955955,14057529720911046597503595589528349231990637757488652351693869853379543063795,60597553377526644998426398831478021925783486636691418520088382050634197537741,1327505873940013120758462688078139315819879088289946115608416774396316552021,78052186241868843874657946687624237447555700174421962370160879068146036938155,66064774561328996787127480678808013063783049314700046670336613830869077126659,33067717337055512232434102294988201249440798234765474600638863381800175135032,6933547074452663910436584564951879005703584681330831098682410320676981943355,33906121006995061442896630370990214625730478471099094027615090560041838093475,39979776667007136353808342935515008268608452898360954585512133830930172448606,49715018881187063464982895989747772465399312245755063089335058600087350804960,74000600342103198586228058334836329762705219765648520830626835333269457871394,83009751138259273789314677078135856180713171064988859574465222214458219046305,37183199378092202825076546449732385075499030242965416584466778519667764089767,16608569028445011186567013935016535115251916259289773229357174101327618705325,94065623449206765665704604155015561027806047326273340439446150993927552512816,100213936568080428178936676751145554008300600043583570853237169877030825563990,50831236193803434911191761972333955925825218801302957423414987757854362161383,63068238647511760480316449459410207359014651813431114542919931726688830544777,93971334893872380566904028678350125351978948326134701957554791477204944728121,45235012352059196166060987948079136779801025207250811219331207816631998001847,18519378372876492592614394986243568576263465955131482590977962624155930594364,65859464990658079660142996010824736969603012122728863182391099129147151070190,73295892619553993750810348358065825800955685792289951843763806669857632117057,55772665958696498786210324043032259166507690017750449781544390521937330073918,67622676671577413482085455646650060642254481357111350261603993814658246783052}",\xe7695a26b422f356690857632ccdaa3eac71b674db25035a54b4e3ffcfe0ca3c,8587884
