smart_object_id,item_object_id,exists,quantity,index,version,__key_bytes,__last_updated_block_number
69427400145081167536543731346203515607375054729200001946255634901969588794182,83009751138259273789314677078135856180713171064988859574465222214458219046305,t,851730,12,1,\x997e84147197872fd4dc1e04689f64aca1fea2de28bf61401b4a18bdc5653346b785daaae400a3e0d5e12634c194ef300524446850107d8d59fa6114287e25a1,8587939
69427400145081167536543731346203515607375054729200001946255634901969588794182,1327505873940013120758462688078139315819879088289946115608416774396316552021,t,65360,20,1,\x997e84147197872fd4dc1e04689f64aca1fea2de28bf61401b4a18bdc565334602ef577986e436d9c4c7d4912e21aa20ba9fa7796e9c9f41d319ef165d4d0b55,8587937
93770074327914876094792325806170835258832475146433093370175317163906876645119,14057529720911046597503595589528349231990637757488652351693869853379543063795,t,45,29,1,\xcf4ffb3479a5be56821049ffaaf04ee3fbed6dd8e8f00eadac82d92e2a911eff1f1447a50af1537298a6559a6e9381b3ae6211f5aa6c25cf30cc9dec296a5cf3,8587935
32325450397785941095236578165209848736443513839027187982770825566571011487199,6645208777098630952294799910889018156440240777863138873940811767969312000461,t,47208,0,1,\x47778e7a645fdb31f393dba0cbafe3d3a674f3a0cf774cd860a95040631bb5df0eb10e0cafa85d75503b8f2b72745c14076932f989352ee6f29a6a60bfb1c9cd,8587934
93770074327914876094792325806170835258832475146433093370175317163906876645119,55772665958696498786210324043032259166507690017750449781544390521937330073918,t,62,35,1,\xcf4ffb3479a5be56821049ffaaf04ee3fbed6dd8e8f00eadac82d92e2a911eff7b4e35d4246f192c40db4b336c25a2d13cf87d8bd03f9093bef9e0773b2e713e,8587933
32325450397785941095236578165209848736443513839027187982770825566571011487199,83009751138259273789314677078135856180713171064988859574465222214458219046305,t,122674,2,1,\x47778e7a645fdb31f393dba0cbafe3d3a674f3a0cf774cd860a95040631bb5dfb785daaae400a3e0d5e12634c194ef300524446850107d8d59fa6114287e25a1,8587931
93770074327914876094792325806170835258832475146433093370175317163906876645119,58496874726991105895669044116748392121272154841054226243843265520351151955955,t,39,6,1,\xcf4ffb3479a5be56821049ffaaf04ee3fbed6dd8e8f00eadac82d92e2a911eff81540ecb555e477accbf0db66793f6a9cbc7302a5c39bec10cbaba761d389ff3,8587931
93770074327914876094792325806170835258832475146433093370175317163906876645119,99309780115438104119740230466693296239536671111712850230998228997308339793177,t,138,9,1,\xcf4ffb3479a5be56821049ffaaf04ee3fbed6dd8e8f00eadac82d92e2a911effdb8f57f846a6e1e82fa52e978ce37d2ebcd37dde646239aa98cf5928d7b52d19,8587930
32325450397785941095236578165209848736443513839027187982770825566571011487199,33067717337055512232434102294988201249440798234765474600638863381800175135032,t,5151,10,1,\x47778e7a645fdb31f393dba0cbafe3d3a674f3a0cf774cd860a95040631bb5df491baa2d5ba57c234a0da6dfbfa89a3c05944cbc408088530619e5f11531e938,8587930
93770074327914876094792325806170835258832475146433093370175317163906876645119,30756325159990946575810088644672529682823840562516308087448291142961889988376,t,2,15,1,\xcf4ffb3479a5be56821049ffaaf04ee3fbed6dd8e8f00eadac82d92e2a911eff43ff76908f4f84685d1fac8bb3872842991cd315bbe05cb6290720c8a1aecf18,8587929
