smart_object_id,exists,max_energy_capacity,energy_produced,total_reserved_energy,last_updated_at,connected_assemblies,__key_bytes,__last_updated_block_number
89448739111853669764195722432858737245724723244906729958839413578723107649474,t,1000,1000,50,1758298570,"{87289106237269290875956179678120332454804303252660690074258564799445819847028,16326610361178753819773047396605024814084054028407180211810582874057291546675,113208874719689806008722798086393930217825797962128381322732801269450095786194,71453740464789018258846512992384108587442857319544557680761591203647593160923,110297536924625212853890661197232088767288131715957129262747496097183062796507,10981548571624416702418290040730738623060894598768277124775365857917803038078,55660722882636902424462447383120735077465830485187764161109952184612212017370,16905466054348280942896552011870816697932781413488152099811479606424273694081}",\xc5c23134d96693dcf928b5942d3e682fc6ee5dbe2b161a867e2df36889f9b7c2,8587935
98694552488422245470267014311903662202975965329731977527148944504922209888654,t,1000,1000,200,1758302648,"{15966376293535236957274206374619424674620882826981309252320088387250223850729,91829504044523823485619638856366215088685332447507285980956849002397749766629,109425925260304450561739597564703352719004131703022700383924418382936542485968,46648792439869272257760544037837453132233379351986404479925714750656681773942,74610903233674952376087832024144741068817388375624488633137051673524465251349}",\xda33231b4b427f75db8ff24e3e91debc833c223fc5c0089461e422e7331da98e,8587888
72410710972534019185563804321962667614203009574011333901271350397002851759586,t,1000,1000,1000,1758302644,"{47235930776605465517326149246413265092942583224922752962011150484452276456142,105586414540660307804885379962609287074484279583099687978362771956347440049492,19795234134162441080341440675344393610932932677831963023045338007022225329895,73843488655757801007727352596110670576923777997636258408557149102000705103034,46090016880362860732001249729808633502944376525009570927557498744634569700605,32394475065217871074364610531909731143065848565845800766939582436409403508940,84238769449992080866088712999782849339873446842578996727086197279815200111172,41812251120973907664152383769499238894885661761835899211810528609629684736975,65912350690271131803057552459040451023526077962059489869064924454966514879532,2783150264703025564676503307489583687785962960537695472785918020858662329198,103574730284832928515413331618557885105535939940918931217933677602609010374875,65055890904796681598026171429708706846524389362831202669817629749706835797566,81615209697172079169053467776324227367758858398973148387782970036690933721195,92218424210386499197358412792402427155780445926505366002834156090626116149704,43488518371616613962363747418386367548670439208749694192247920559301585219914,55337631446183616079424067958438685811807108420472214704680377089345946959563}",\xa017029126544534a4adcd4e0cdc0826c1f73c8f59f8fc786c367ccc565335e2,8587886
43889285950951547482519588404927208487367484671426819985714712561821967211462,t,1000,0,0,1756037108,"{13762354927066111352178324384986807156675845482632607203138733142819899699227,43792376268878578665690763757603185247555174260546158326540066098816496822638,47185083351408974992057482246376123995827845397238429773536951959478838903079}",\x6108749dfc48c0badef6ed335b614472330f6e20c428f2ea3308a583fc645bc6,8587884
83225530904733195543473294144060252872675872817573834818749096593942394676368,t,1000,1000,0,1757270824,"{114471275799138036738879184597669124908904769890772026754193440456300402400283,68414870092408726995284918354210972589709809808521922219129213511111638660718,100250025223726658738654931823487964951215097609770556669156456216720318157236}",\xb7fffb2f42b84852e033eaed376391542b4a52dbaaee76e328d7fddfecb7a490,8587884
48972948417235390423750754750843347037822069132257912218959717489418639054113,t,1000,1000,500,1757236604,"{80091587600179880006665962778441750638053766261730407438109994926064440467747,104716964596130150350304150797243798831185746416213213660376927570817323900015,33881281172980829843511335657377929227024751148435640733967145905530996018208,1602363930960420557137688342431512040533476842530748465603223468608786560926,58793264801436530584799995768200950594632979593675489541409635433600917229499,12310321133933560023926922297397187361381150153540175885302799596881239972636,91680878748387091098069708973053217288851092314262204054787385290917108348954,5333043523917980249366438208069779461246794768089166650702885195478033809717}",\x6c45b4dedd75714fc4bbe6a507b563c481c313cf7cc3384b2b039a6043f11521,8587824
48405753795274578457963591813794189255796749250319220771722411063849289518045,t,1000,0,0,1758302286,"{15826989740042868735782027695373078811910155679494255107403691126690200160162,103794148487168225632760490471334264069548306320316093080483505654522718830657,87909793573876795117309954670631258230074032952024022526767053971235689404055,25570913830860391448066303471258664623106252375660590894259300801661426260720,61766531040633220286802291181755688420253450528309416780355602461670826474603,72815416305175875191646260021565054251669863749761748265711988234233663646780,82586456083812270524345936497015204616392213083397139430556261439359121914384,73164327447981643023903069596283417304073604538228736943552745683013907335005,96218132486294712161031497362733178393341874750300211876068928766629023527884}",\x6b04af8d0f99688fae1563cd1f1c5abf046ba74503a0c28c2967f46024d00bdd,8587707
115169322061584600141330025688940739586870344144303995175196392926593392706947,t,1000,1000,600,1758302228,"{95289291126870067852414710290149991594916035818254014529635037003322608389926,16833815928936461105059024764384403008252857856391618321536207731061986095022,48783884656269601403415738083341037241982071698361695446879441220987329844312,61344830601895019183655239552699724353322621737504261803796830359959769105916,94593996895432736342959514644267771453495368357899690246428562333329184452635,28541884604598220577323410708090833659268527994284945395483386390711861903346,96786250967224121452901178000165537988711839472578893051803430053515343352027,107279414568790983876213238886791299550092722787147415980828133669392214935871,76951852492462709349580283615160221156593334704146705937422181264100052130924,84486375863542975293257076616496905808127623775160052593988726630107796982142,94592119773923949239952065927571925418745921285300422134093742136936905239884,49382155363739354063609590687741334627711480296759211761907889316237645916525,107698388963840269887223481827035470245229559086726593619156590721179035634656,65612384799273984384133722770374551718154309947742656313978223023965367457231,39758310027774495200432029096745632498467015806332448726252022779966009275883}",\xfe9f86b99d0150cfd33e26c3e6e95aae517632f3a984684509734eba58ea0583,8587678
77095029443750609761841339137960374914647570412101009368273386221345060425553,t,1000,1000,650,1758302188,"{108566415103577088380275284476995477409221922716482510324332007640120633097050,622770687099669427675954703264282877433144844896915002936796901150542168511,36906460036115561003219504996205005234249729857710120007712722654276058662156,15635805625937360878718143632255945799371249207172693481501210854623463816823,22361226531627160049509872544673418017859640347202959632208964273830186094520,54774548514178735454266141662401485881689762912205736666317836637273223264885,20807397933398167507431450049556761391778351820501633420731534231907914526040,46395262559274693694543899307814109846141412405464717749877106334681104603674,55589999332649072588293918187827840023350259177297650304207924788203567609928,110991932851964095175732541561561374937512652139271518377835671629679656450153,40066996292637984147442833569707038801948579100619903901232465377888137006902}",\xaa723d86007af43308b6fb11e7272e8e1d53b9e1bf34a08f667e185f15a40f51,8587658
57417392899825867547379947787173565733897932333858872869475247696727806360663,t,1000,0,0,1757903898,"{45909532909060145875931770913330465720246726577257909464373552526207563501239,90684566849548390868605053842282232348457571581353227203969148848657999343024,15243218923249872964459074231719265789709517943134301279694137048258827570954,88200008707228591555509361857266693034854542630762304307020480181677497734097,2207243424145182511714621100778911667548461922642265433546075359351609509403}",\x7ef117bd0134459ce4aa221abc030be351bc0018ffd33be91074f61c1498bc57,8587617
