network_node_id,assembly_id,connected_assembly_index,is_connected,connected_at,__key_bytes,__last_updated_block_number
89448739111853669764195722432858737245724723244906729958839413578723107649474,16905466054348280942896552011870816697932781413488152099811479606424273694081,7,t,1758302742,\xc5c23134d96693dcf928b5942d3e682fc6ee5dbe2b161a867e2df36889f9b7c22560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d81,8587935
43889285950951547482519588404927208487367484671426819985714712561821967211462,47185083351408974992057482246376123995827845397238429773536951959478838903079,2,t,1758302640,\x6108749dfc48c0badef6ed335b614472330f6e20c428f2ea3308a583fc645bc66851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a0424127,8587884
83225530904733195543473294144060252872675872817573834818749096593942394676368,100250025223726658738654931823487964951215097609770556669156456216720318157236,2,t,1758302640,\xb7fffb2f42b84852e033eaed376391542b4a52dbaaee76e328d7fddfecb7a490dda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c866289283851b4,8587884
83225530904733195543473294144060252872675872817573834818749096593942394676368,68414870092408726995284918354210972589709809808521922219129213511111638660718,1,t,1758302632,\xb7fffb2f42b84852e033eaed376391542b4a52dbaaee76e328d7fddfecb7a490974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16366e,8587880
89448739111853669764195722432858737245724723244906729958839413578723107649474,55660722882636902424462447383120735077465830485187764161109952184612212017370,6,t,1758302404,\xc5c23134d96693dcf928b5942d3e682fc6ee5dbe2b161a867e2df36889f9b7c27b0eda4cae0a952cf04942d760ec2381015b87d39be175b9891ea03c9fb188da,8587766
89448739111853669764195722432858737245724723244906729958839413578723107649474,10981548571624416702418290040730738623060894598768277124775365857917803038078,5,t,1758302112,\xc5c23134d96693dcf928b5942d3e682fc6ee5dbe2b161a867e2df36889f9b7c2184756130f361e553baaf7afd034c08fb01f14b10a7943d51a5f82c2c726057e,8587620
57417392899825867547379947787173565733897932333858872869475247696727806360663,45909532909060145875931770913330465720246726577257909464373552526207563501239,0,t,1757689662,\x7ef117bd0134459ce4aa221abc030be351bc0018ffd33be91074f61c1498bc57657fdff26a2b674ddb3eaaa1656d6e6948c632712c23027cd59b77aec69e8eb7,8587617
57417392899825867547379947787173565733897932333858872869475247696727806360663,88200008707228591555509361857266693034854542630762304307020480181677497734097,3,t,1757689136,\x7ef117bd0134459ce4aa221abc030be351bc0018ffd33be91074f61c1498bc57c2ff6f93e017dd2a3974bef0f8d13d48204029bfa7850e07d6f07a83589753d1,8587617
89448739111853669764195722432858737245724723244906729958839413578723107649474,87289106237269290875956179678120332454804303252660690074258564799445819847028,0,t,1758295914,\xc5c23134d96693dcf928b5942d3e682fc6ee5dbe2b161a867e2df36889f9b7c2c0fbe2216ed0936269d4f6b5b33ac99b8aa4140bd6f637721be27c8aa075f174,8587536
67159458086450214848779653101138866643361629171683083388244108888096142235420,8391351381265288404389099054627442271841534295031559268296276313132950916694,1,t,1758301866,\x947ae7fe1c675c68bce69dc13ee26bc183893bb3da9884db00f6a3eb63a3971c128d56298f479465fdc1e580606c0a2b8fbda049baf7073605118b519a708e56,8587497
