role,exists,admin,members,__key_bytes,__last_updated_block_number
\xb66e8584ec05c958d8cc3dc17c1b01b8845435d40c5192c977ca9f0889d44204,t,\xb66e8584ec05c958d8cc3dc17c1b01b8845435d40c5192c977ca9f0889d44204,"{""json"":[""0xF9F7928fB4Ba39B5667C7799fC879161f835c1Bd""]}",\xb66e8584ec05c958d8cc3dc17c1b01b8845435d40c5192c977ca9f0889d44204,8587935
\xde1e36ba648575567958b1671f8e437e542dace2ddd375b04b374fdd0c7b17c0,t,\xde1e36ba648575567958b1671f8e437e542dace2ddd375b04b374fdd0c7b17c0,"{""json"":[""0xb6D7c0b16b6114a81b446122E4dEF78d3be9D02B""]}",\xde1e36ba648575567958b1671f8e437e542dace2ddd375b04b374fdd0c7b17c0,8587884
\xe088a8593ba42878a3aca2bc16bb29aa81d117c87f05b0b66edc700e3572cdcf,t,\xe088a8593ba42878a3aca2bc16bb29aa81d117c87f05b0b66edc700e3572cdcf,"{""json"":[""0xF7B41f2824764538D0D10165F44955E71A5d8De9""]}",\xe088a8593ba42878a3aca2bc16bb29aa81d117c87f05b0b66edc700e3572cdcf,8587884
\xc6141f3463aacc39b7c3518801f8c2f6ce2a3f11e2c304d995f5809375b0dab4,t,\xc6141f3463aacc39b7c3518801f8c2f6ce2a3f11e2c304d995f5809375b0dab4,"{""json"":[""0xF7B41f2824764538D0D10165F44955E71A5d8De9""]}",\xc6141f3463aacc39b7c3518801f8c2f6ce2a3f11e2c304d995f5809375b0dab4,8587880
\xb0e6f626216593f92300d26653582931b12f892c650f67af50e07d81284c8cdf,t,\xb0e6f626216593f92300d26653582931b12f892c650f67af50e07d81284c8cdf,"{""json"":[""0x0EA8557b115C90e699AF65D9A85071c73fCaBfeD""]}",\xb0e6f626216593f92300d26653582931b12f892c650f67af50e07d81284c8cdf,8587831
\x50dfa6d4da7649a83879de3fbc66e47e479c7aec24a77a983dd42d1d120a385f,t,\x50dfa6d4da7649a83879de3fbc66e47e479c7aec24a77a983dd42d1d120a385f,"{""json"":[""0x6c0232497d804693681F79960454d18E539617C1""]}",\x50dfa6d4da7649a83879de3fbc66e47e479c7aec24a77a983dd42d1d120a385f,8587807
\x98652fb24074e8520d2c4dfd8494864531a3e3172f42de306d258cd48ca0a14c,t,\x98652fb24074e8520d2c4dfd8494864531a3e3172f42de306d258cd48ca0a14c,"{""json"":[""0x96d9D650e10918a0b0a7D10974b3dbf659a78C2d""]}",\x98652fb24074e8520d2c4dfd8494864531a3e3172f42de306d258cd48ca0a14c,8587775
\x1bb07e43c5fc447e9e60a0660e091341748bfbe2840ec7422f044a0259fa91fe,t,\x1bb07e43c5fc447e9e60a0660e091341748bfbe2840ec7422f044a0259fa91fe,"{""json"":[""0x5663123EB5Bc2cFc61B9884F35F3a373f9DF93d7""]}",\x1bb07e43c5fc447e9e60a0660e091341748bfbe2840ec7422f044a0259fa91fe,8587775
\xdb21d2397b0bfffa284ecae70aab4a0d62448d99976e93d87c32f794560b1c1c,t,\xdb21d2397b0bfffa284ecae70aab4a0d62448d99976e93d87c32f794560b1c1c,"{""json"":[""0xF9F7928fB4Ba39B5667C7799fC879161f835c1Bd""]}",\xdb21d2397b0bfffa284ecae70aab4a0d62448d99976e93d87c32f794560b1c1c,8587766
\x7f8a932143404ee5e276d26b8d5f7b0be40aedcfdf56e493e53895fb3567df4a,t,\x7f8a932143404ee5e276d26b8d5f7b0be40aedcfdf56e493e53895fb3567df4a,"{""json"":[""0x8E196551Ed85558b830BC2De5c530f850514FC81""]}",\x7f8a932143404ee5e276d26b8d5f7b0be40aedcfdf56e493e53895fb3567df4a,8587732
