resource_id,exists,__key_bytes,__last_updated_block_number
\x73794b616c6970617475000000000000536d6172744761746553797374656d00,t,\x73794b616c6970617475000000000000536d6172744761746553797374656d00,8579786
\x74624b616c697061747500000000000047617465416363436861720000000000,t,\x74624b616c697061747500000000000047617465416363436861720000000000,8579785
\x737962696f646f6e0000000000000000536d61727453746f72616765556e6974,t,\x737962696f646f6e0000000000000000536d61727453746f72616765556e6974,8460762
\x746262696f646f6e0000000000000000526174696f436f6e6669670000000000,t,\x746262696f646f6e0000000000000000526174696f436f6e6669670000000000,8460761
\x737962696f646f6e0000000000000000536d6172745475727265745379737465,t,\x737962696f646f6e0000000000000000536d6172745475727265745379737465,8397434
\x746262696f646f6e0000000000000000547572726574416c6c6f776c69737400,t,\x746262696f646f6e0000000000000000547572726574416c6c6f776c69737400,8397433
\x6e7362696f646f6e000000000000000000000000000000000000000000000000,t,\x6e7362696f646f6e000000000000000000000000000000000000000000000000,8397431
\x737962696f5f646f6e00000000000000536d6172745475727265745379737465,t,\x737962696f5f646f6e00000000000000536d6172745475727265745379737465,8396912
\x746262696f5f646f6e00000000000000547572726574416c6c6f776c69737400,t,\x746262696f5f646f6e00000000000000547572726574416c6c6f776c69737400,8396910
\x6e7362696f5f646f6e0000000000000000000000000000000000000000000000,t,\x6e7362696f5f646f6e0000000000000000000000000000000000000000000000,8396906
