world_function_selector,system_id,system_function_selector,__key_bytes,__last_updated_block_number
\x3705f09e,\x73794b616c6970617475000000000000536d6172744761746553797374656d00,\xc9cf8ac5,\x3705f09e00000000000000000000000000000000000000000000000000000000,8579788
\x5dfbd1c6,\x737962696f646f6e0000000000000000536d61727453746f72616765556e6974,\x5d8be5ae,\x5dfbd1c600000000000000000000000000000000000000000000000000000000,8460765
\x5f5dcee9,\x737962696f646f6e0000000000000000536d61727453746f72616765556e6974,\x6565559f,\x5f5dcee900000000000000000000000000000000000000000000000000000000,8460764
\x708d2107,\x737962696f646f6e0000000000000000536d61727453746f72616765556e6974,\x911d1e5a,\x708d210700000000000000000000000000000000000000000000000000000000,8460764
\x034b87e4,\x737962696f646f6e0000000000000000536d6172745475727265745379737465,\xaf82ba34,\x034b87e400000000000000000000000000000000000000000000000000000000,8397437
\x4eadb4f2,\x737962696f646f6e0000000000000000536d6172745475727265745379737465,\x4a9afbdd,\x4eadb4f200000000000000000000000000000000000000000000000000000000,8397437
\x1e35aa61,\x737962696f646f6e0000000000000000536d6172745475727265745379737465,\x8ba2b5d8,\x1e35aa6100000000000000000000000000000000000000000000000000000000,8397437
\xc77eb271,\x737962696f646f6e0000000000000000536d6172745475727265745379737465,\xea49f0a8,\xc77eb27100000000000000000000000000000000000000000000000000000000,8397437
\x9cd47c2d,\x737962696f646f6e0000000000000000536d6172745475727265745379737465,\x5bde04a8,\x9cd47c2d00000000000000000000000000000000000000000000000000000000,8397437
\x8ca72615,\x737962696f646f6e0000000000000000536d6172745475727265745379737465,\xea420aa9,\x8ca7261500000000000000000000000000000000000000000000000000000000,8397437
