function_selector,function_signature,__key_bytes,__last_updated_block_number
\xc9cf8ac5,"canJump(uint256,uint256,uint256)",\xc9cf8ac500000000000000000000000000000000000000000000000000000000,8579788
\x3705f09e,"Kalipatu__canJump(uint256,uint256,uint256)",\x3705f09e00000000000000000000000000000000000000000000000000000000,8579788
\x5dfbd1c6,"biodon__setRatio(uint256,uint256,uint256,uint64,uint64)",\x5dfbd1c600000000000000000000000000000000000000000000000000000000,8460765
\x5d8be5ae,"setRatio(uint256,uint256,uint256,uint64,uint64)",\x5d8be5ae00000000000000000000000000000000000000000000000000000000,8460765
\x6565559f,"calculateOutput(uint64,uint64,uint64)",\x6565559f00000000000000000000000000000000000000000000000000000000,8460764
\x911d1e5a,"execute(uint256,uint64,uint256)",\x911d1e5a00000000000000000000000000000000000000000000000000000000,8460764
\x708d2107,"biodon__execute(uint256,uint64,uint256)",\x708d210700000000000000000000000000000000000000000000000000000000,8460764
\x5f5dcee9,"biodon__calculateOutput(uint64,uint64,uint64)",\x5f5dcee900000000000000000000000000000000000000000000000000000000,8460764
\x8ba2b5d8,"aggression((uint256,((uint256,uint256,uint256,uint256,uint256,uint256),uint256)[],(uint256,uint256,uint256),(uint256,uint256,uint256,uint256,uint256,uint256),(uint256,uint256,uint256,uint256,uint256,uint256)))",\x8ba2b5d800000000000000000000000000000000000000000000000000000000,8397437
\xea49f0a8,"inProximity(uint256,uint256,((uint256,uint256,uint256,uint256,uint256,uint256),uint256)[],(uint256,uint256,uint256),(uint256,uint256,uint256,uint256,uint256,uint256))",\xea49f0a800000000000000000000000000000000000000000000000000000000,8397437
