namespace_id,owner,__key_bytes,__last_updated_block_number
\x6e7362696f646f6e000000000000000000000000000000000000000000000000,\x0804052dd5a0eacee2625d0943823606d446a9a3,\x6e7362696f646f6e000000000000000000000000000000000000000000000000,8397431
\x6e7362696f5f646f6e0000000000000000000000000000000000000000000000,\x0804052dd5a0eacee2625d0943823606d446a9a3,\x6e7362696f5f646f6e0000000000000000000000000000000000000000000000,8396906
\x6e734554435032494e5300000000000000000000000000000000000000000000,\xfd169585f8e4e91ef0db96145e20554ebd85ffe8,\x6e734554435032494e5300000000000000000000000000000000000000000000,8343775
\x6e73455443473132544132000000000000000000000000000000000000000000,\xfd169585f8e4e91ef0db96145e20554ebd85ffe8,\x6e73455443473132544132000000000000000000000000000000000000000000,8343608
\x6e7345544356454e44494e470000000000000000000000000000000000000000,\xfd169585f8e4e91ef0db96145e20554ebd85ffe8,\x6e7345544356454e44494e470000000000000000000000000000000000000000,8183949
\x6e736a69616f0000000000000000000000000000000000000000000000000000,\xb9cd45927644004b48e447d3856ef8d4ed940566,\x6e736a69616f0000000000000000000000000000000000000000000000000000,8152096
\x6e7356554c5455525f5469676572000000000000000000000000000000000000,\x897918e877ce6d0ceafa50c4b41afa5f44e506d3,\x6e7356554c5455525f5469676572000000000000000000000000000000000000,8123337
\x6e73455443503249000000000000000000000000000000000000000000000000,\x052a88d3be1f6b9f1adbde3e790168277f4d65f6,\x6e73455443503249000000000000000000000000000000000000000000000000,8112552
\x6e73455443463352000000000000000000000000000000000000000000000000,\x052a88d3be1f6b9f1adbde3e790168277f4d65f6,\x6e73455443463352000000000000000000000000000000000000000000000000,8112315
\x6e73746573746761746500000000000000000000000000000000000000000000,\xfd169585f8e4e91ef0db96145e20554ebd85ffe8,\x6e73746573746761746500000000000000000000000000000000000000000000,8010373
