resource_id,caller,access,__key_bytes,__last_updated_block_number
\x6e734b616c697061747500000000000000000000000000000000000000000000,\x6851bce552a00f6ad5d81ea417a8e91ff3855cea,t,\x6e734b616c6970617475000000000000000000000000000000000000000000000000000000000000000000006851bce552a00f6ad5d81ea417a8e91ff3855cea,8580044
\x6e7362696f646f6e000000000000000000000000000000000000000000000000,\x7c084d43da977fe0b55d2b3509dfb9d0bb8ba533,t,\x6e7362696f646f6e0000000000000000000000000000000000000000000000000000000000000000000000007c084d43da977fe0b55d2b3509dfb9d0bb8ba533,8460762
\x6e7362696f646f6e000000000000000000000000000000000000000000000000,\x8ce3995d44f1c85f9a822a476f55ef6489635758,t,\x6e7362696f646f6e0000000000000000000000000000000000000000000000000000000000000000000000008ce3995d44f1c85f9a822a476f55ef6489635758,8397434
\x6e7362696f646f6e000000000000000000000000000000000000000000000000,\x0804052dd5a0eacee2625d0943823606d446a9a3,t,\x6e7362696f646f6e0000000000000000000000000000000000000000000000000000000000000000000000000804052dd5a0eacee2625d0943823606d446a9a3,8397431
\x6e7362696f5f646f6e0000000000000000000000000000000000000000000000,\x20e389322f6c80cd7d8e1040f0336a329b503761,t,\x6e7362696f5f646f6e000000000000000000000000000000000000000000000000000000000000000000000020e389322f6c80cd7d8e1040f0336a329b503761,8396912
\x6e7362696f5f646f6e0000000000000000000000000000000000000000000000,\x0804052dd5a0eacee2625d0943823606d446a9a3,t,\x6e7362696f5f646f6e00000000000000000000000000000000000000000000000000000000000000000000000804052dd5a0eacee2625d0943823606d446a9a3,8396906
\x6e734554435032494e5300000000000000000000000000000000000000000000,\x5b70af12e781ccbb4974e49c60aeb4ca41876484,t,\x6e734554435032494e53000000000000000000000000000000000000000000000000000000000000000000005b70af12e781ccbb4974e49c60aeb4ca41876484,8343785
\x6e734554435032494e5300000000000000000000000000000000000000000000,\xfd169585f8e4e91ef0db96145e20554ebd85ffe8,t,\x6e734554435032494e5300000000000000000000000000000000000000000000000000000000000000000000fd169585f8e4e91ef0db96145e20554ebd85ffe8,8343775
\x6e73455443473132544132000000000000000000000000000000000000000000,\x1f7317d82de36329b9f4176ce4d49600875b6c98,t,\x6e734554434731325441320000000000000000000000000000000000000000000000000000000000000000001f7317d82de36329b9f4176ce4d49600875b6c98,8343621
\x6e73455443473132544132000000000000000000000000000000000000000000,\xfd169585f8e4e91ef0db96145e20554ebd85ffe8,t,\x6e73455443473132544132000000000000000000000000000000000000000000000000000000000000000000fd169585f8e4e91ef0db96145e20554ebd85ffe8,8343608
